dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352GFX,"LCD Touchscreen incl. Battery - Blue, Huawei Mate 20 Pro",Display,"Leverbaar, alleen uit voorraad",Original,3,93.96,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352GGB,"LCD Touchscreen - Emerald Green, Huawei Mate 20 Pro",Display,"Leverbaar, alleen uit voorraad",Original,3,174.05,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352GGC,"LCD Touchscreen incl. Battery - Twilight, Huawei Mate 20 Pro",Display,"Leverbaar, alleen uit voorraad",Original,4,76.7,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352GWN,"LCD Touchscreen incl. battery - Midnight Black, Huawei Honor 10 Lite",Display,"Leverbaar, alleen uit voorraad",Original,2,38.3,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352HTS,"Rear Cover - Black, Huawei P Smart (2019)",Housing,"Leverbaar, alleen uit voorraad",Original,20,4.37,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352HUW,"Rearcover - Sapphire Blue, Huawei Honor 10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,1,30.61,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352HUX,"Rearcover - Sky Blue, Huawei Honor 10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,5,9.12,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352HVC,"Daughterboard, Huawei P Smart 2019",Connector,"Leverbaar, alleen uit voorraad",Original,4,5.77,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352JEY,"LCD Touchscreen - Black, Huawei P Smart (2019)",Display,"Leverbaar, alleen uit voorraad",Original,25+,48.36,1,10
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352LVM,"LCD touchscreen incl. Battery - Black, Huawei Y6 2019 ",Display,"Leverbaar, alleen uit voorraad",Original,14,37.2,1,5
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352MPA,"Daughterboard, Huawei P Smart 2019 ",Connector,"Leverbaar, alleen uit voorraad",Original,5,8.01,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NLH,"Daughterboard, Huawei P30 ",Connector,"Leverbaar, alleen uit voorraad",Original,25+,6.73,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02352NLN,"_x000D_
LCD touchscreen incl. Battery - Blue;Huawei P30",Display,"Leverbaar, alleen uit voorraad",Original,11,57.63,1,5
