dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000805V,"Rear Camera 64M (main), Xiaomi Redmi Note 10S",Camera,"Leverbaar, alleen uit voorraad",Original,1,31.2,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000825Y,"Rear Camera 48M (main camera), Xiaomi Poco F3",Camera,"Leverbaar, alleen uit voorraad",Original,1,29.16,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200008N5E,"Rear Camera 8M (wide angle), Xiaomi Poco X3 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,14.91,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200008X9X,"Rear Camera 48M (main camera), Xiaomi Redmi Note 10 5G",Camera,"Leverbaar, alleen uit voorraad",Original,1,26.68,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200008Y9X,"Rear Camera 2M (depth), Xiaomi Redmi Note 10 5G",Camera,"Leverbaar, alleen uit voorraad",Original,1,19.98,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000909X,"Rear Camera 2M (macro), Xiaomi Redmi Note 10 5G",Camera,"Leverbaar, alleen uit voorraad",Original,1,20.96,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000955Y,"Rear Camera 8M (wide angle), Xiaomi Poco X3 GT",Camera,"Leverbaar, alleen uit voorraad",Original,2,7.6,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200009B5Y,"Rear Camera 2M (macro), Xiaomi Redmi Note 10 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,5.64,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200009D5E,"Rear Camera 8M (ultra wide angle), Xiaomi Mi 11X Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,10.2,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200009E5Y,"Rear Camera 108M (main), Xiaomi Mi 11X Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,57.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",410200009F5Y,"Rear Camera 5M (macro), Xiaomi Mi 11X Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,11.7,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000A25Y,"Rear Camera 108M (main), Xiaomi Mi 11T Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,69.94,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BB5V,"Rear Camera 50M (main), Xiaomi 12X",Camera,"Leverbaar, alleen uit voorraad",Original,2,56.82,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BD5Y,"Rear Camera, Xiaomi 12 / 12X",Camera,"Leverbaar, alleen uit voorraad",Original,1,7.62,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BG5Y,"Rear Camera 50M (long focus), Xiaomi 12 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,19.19,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BH5Y,"Rear Camera 50M (ultra wide angle), Xiaomi 12 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,19.07,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BM5E,"Rear Camera 13M (ultra wide angle), Xiaomi 12X",Camera,"Leverbaar, alleen uit voorraad",Original,2,9.35,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BT5E,"Rear Camera 2M (macro), Xiaomi Redmi Note 11",Camera,"Leverbaar, alleen uit voorraad",Original,1,10.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BV7D,"Rear Camera 50M (main camera), Xiaomi Poco M4 Pro 5G",Camera,"Leverbaar, alleen uit voorraad",Original,2,18.54,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000BW7D,"Rear Camera 8M (wide angle), Xiaomi Poco M4 Pro 5G",Camera,"Leverbaar, alleen uit voorraad",Original,2,9.3,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000C3K2,"Rear Camera 8M (ultra wide angle), Xiaomi Redmi Note 11",Camera,"Leverbaar, alleen uit voorraad",Original,1,13.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000C95Y,"Rear Camera 2M (depth), Xiaomi Redmi Note 11",Camera,"Leverbaar, alleen uit voorraad",Original,2,8.42,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000CD5E,"Rear Camera 50M (main camera), Xiaomi Redmi Note 11",Camera,"Leverbaar, alleen uit voorraad",Original,1,20.28,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000DDQM,"Rear Camera (main), Xiaomi 12 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,2,31.67,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000DG5Y,"Rear Camera 2M (macro), Xiaomi 12 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,2,5.88,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000DJ5V,"Rear Camera 50M (main), Xiaomi 12X",Camera,"Leverbaar, alleen uit voorraad",Original,1,40.81,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",41020000DK5E,"Rear Camera 8M (ultra wide angle), Xiaomi 12 Lite",Camera,"Leverbaar, alleen uit voorraad",Original,2,6.08,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",414201470076,"Rear Camera 2M FF, Xiaomi Redmi Note 8 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,2,4.3,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",414640470076,"Rear Camera 64M FF, Xiaomi Redmi Note 8 Pro",Camera,"Leverbaar, alleen uit voorraad",Original,1,34.36,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",42010000081J,"Vibrator, Xiaomi Poco X3 Pro/Mi 11 Lite 4G/Mi 11 Lite 5G/Redmi Note 10 Pro",Buzzer/vibra,"Leverbaar, alleen uit voorraad",Original,3,3.93,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",420100000G1A,"Vibrator, Xiaomi Mi 11T/Mi 11T Pro",Buzzer/vibra,"Leverbaar, alleen uit voorraad",Original,1,6.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",420100000H1J,"Vibrator, Xiaomi Redmi Note 10/Redmi Note 10S",Buzzer/vibra,"Leverbaar, alleen uit voorraad",Original,2,4.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",42010000102G,"Vibrator, Xiaomi Redmi Note 11",Buzzer/vibra,"Leverbaar, alleen uit voorraad",Original,2,4.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",42020000022G,"Vibrator, Xiaomi Redmi 9",Buzzer/vibra,"Leverbaar, alleen uit voorraad",Original,1,3.33,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",422000033000,"Vibrator, Xiaomi Mi 11",Buzzer/vibra,"Leverbaar, alleen uit voorraad",Original,1,8.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",45010000031P,Audio Analog Adapter Cable Type C - Type C White for models Xiaomi Poco F3/Mi 11/Mi 11 Lite 4G/Mi 11 Lite 5G/Mi 11X Pro,USB datalink kabel,"Leverbaar, alleen uit voorraad",Original,7,5.7,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",45010000154S,"USB Data Cable - Type C 6A White for models Xiaomi Mi 11/Mi 11T/Mi 11T Pro_x000D_
",USB Cable,"Leverbaar, alleen uit voorraad",Original,25+,5.55,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",451100002TKR,"Coaxial Cable - Black, Xiaomi Mi 11 Lite 4G/Mi 11 Lite 5G",Cable,"Leverbaar, alleen uit voorraad",Original,1,4.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",451123W20070,USB Data Cable 3A- Type C White for models Xiaomi Mi 11 Lite 5G/Poco M3/Poco X3 Pro/Redmi Note 8 Pro,USB datalink kabel,"Leverbaar, alleen uit voorraad",Original,3,3.6,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",453000070027,Coaxial Cable - Xiaomi Redmi Note 8 Pro,Cable,"Leverbaar, alleen uit voorraad",Original,2,4.59,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200000O5Z,"Battery, Xiaomi Poco F2 Pro",Battery,"Leverbaar, alleen uit voorraad",Original,3,22.1,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200000U1G,"Battery, Xiaomi Mi 10",Battery,"Leverbaar, alleen uit voorraad",Original,20,20.15,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200001C5Z,"Battery, Xiaomi Mi 10 Lite 5G",Battery,"Leverbaar, alleen uit voorraad",Original,2,14.25,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",460200002F5Z,"Battery, Xiaomi Redmi Note 9S",Battery,"Leverbaar, alleen uit voorraad",Original,6,15.3,1,0
